,ASSETID,SHOPID,SHOPNAME,ASSETSNAME,ASSETSTYPEID,UNITNAME,ADDRESS
354,22906,8350,南庄村委,村委办公楼,7,间,陈村乡南庄村
355,23329,8350,南庄村委,南庄学校,8,平米,陈村乡南庄村
356,22931,8350,南庄村委,投影机、电视机、铁皮柜,10,套,陈村乡南庄村
357,22917,8350,南庄村委,电脑、音响、饮水机,10,台,陈村乡南庄村
358,22936,8350,南庄村委,扩音机、喇叭、报纸架,10,套,陈村乡南庄村
359,22939,8350,南庄村委,床、吊扇、饮水机,10,张,陈村乡南庄村
360,22938,8350,南庄村委,办公桌、椅、沙发,11,套,陈村乡南庄村
361,22921,8350,南庄村委,桌、椅、凳,11,套,陈村乡南庄村
362,22927,8350,南庄村委,办公桌、椅,11,套,陈村乡南庄村
363,22941,8350,南庄村委,篮球架,12,付,陈村乡南庄村
364,22924,8350,南庄村委,乒乓球案、篮球蓝,12,付,陈村乡南庄村
365,23470,8350,南庄村委,广场,12,个,陈村乡南庄村
366,22942,8350,南庄村委,大鼓、钗,18,个,陈村乡南庄村
367,22928,8350,南庄村委,图书,18,个,陈村乡南庄村
368,27036,8351,池底村委,村委文化大院,7,间,池底村
369,27035,8351,池底村委,池底学校,8,间,池底村
370,27041,8351,池底村委,电视机,10,,池底村
371,27042,8351,池底村委,电脑,10,台,池底村
372,27037,8351,池底村委,办公桌椅,11,套,池底村
373,27038,8351,池底村委,图书柜,11,个,池底村
374,27039,8351,池底村委,乒乓球案,12,个,池底村
375,27040,8351,池底村委,球栏,12,个,池底村
376,23139,8352,段村村委,文化大院,7,间,陈村乡段村村
377,23134,8352,段村村委,段村学校,8,间,陈村乡段村村
378,28622,8352,段村村委,办公桌,11,套,陈村乡段村村村室
379,23122,8352,段村村委,电视机、投影机、,12,台,陈村乡段村村
380,28623,8352,段村村委,文体设施,12,套,陈村乡段村村委院内
381,27046,8353,永家院村委,文化大院,7,间,永家院村
382,27043,8353,永家院村委,学校教学楼,8,间,永家院村
383,27045,8353,永家院村委,厕所,9,个,永家院村
384,27044,8353,永家院村委,房屋（西厦）,9,间,永家院村
385,27050,8353,永家院村委,电脑,10,台,永家院村
386,27047,8353,永家院村委,书柜,11,个,永家院村
387,27048,8353,永家院村委,办公桌,11,张,永家院村
388,27049,8353,永家院村委,椅子、木凳,11,把,永家院村
389,27051,8353,永家院村委,电锤,18,个,永家院村
390,27052,8354,朱城村委,文化大院,7,间,朱城村
391,27053,8354,朱城村委,学校房屋,8,间,朱城村
392,27054,8354,朱城村委,办公设备,10,套,朱城村
393,27055,8354,朱城村委,办公家具,11,套,朱城村
394,27056,8354,朱城村委,健身器材,12,套,朱城村
395,27057,8354,朱城村委,教学器材,14,套,朱城村
396,27067,8355,下马头村委,文化大院,7,间,下马头村
397,27068,8355,下马头村委,教学楼,8,间,下马头村
398,27065,8355,下马头村委,远程电视、电暖风,10,台,下马头村
399,27064,8355,下马头村委,电脑、电风扇、饮水机,10,台,下马头村
400,27062,8355,下马头村委,档案柜、图书柜,11,个,下马头村
401,27066,8355,下马头村委,方凳,11,张,下马头村
402,27063,8355,下马头村委,办公桌椅,11,张,下马头村
403,27060,8355,下马头村委,篮球蓝,12,个,下马头村
404,27058,8355,下马头村委,图书阅读案,12,个,下马头村
405,27059,8355,下马头村委,乒乓球案,12,个,下马头村
406,27061,8355,下马头村委,计生检查床,17,张,下马头村
407,22835,8356,柳永村委,村委办公楼,7,间,陈村乡柳永村
408,22839,8356,柳永村委,教学楼,8,间,陈村乡柳永村
409,22838,8356,柳永村委,配套房,9,间,陈村乡柳永村
410,22843,8356,柳永村委,电脑、电视、电脑风,10,台,陈村乡柳永村
411,22847,8356,柳永村委,连椅,11,把,陈村乡柳永村
412,22840,8356,柳永村委,沙发、桌子、椅子、凳子,11,套,陈村乡柳永村
413,22861,8356,柳永村委,健身器材,12,套,陈村乡柳永村
414,22863,8356,柳永村委,机井、配套设备,13,眼,陈村乡柳永村
415,22856,8356,柳永村委,水泵、电缆、钢管、胶管,15,台,陈村乡柳永村
416,22859,8356,柳永村委,垃圾车,18,辆,陈村乡柳永村
417,27069,8357,韶兴村委,文化大院,7,间,韶兴村
418,27072,8357,韶兴村委,电视机、扩音机,10,台,韶兴村
419,27071,8357,韶兴村委,沙发,11,套,韶兴村
420,27073,8357,韶兴村委,方桌、长凳,11,张,韶兴村
421,27070,8357,韶兴村委,办公桌,11,张,韶兴村
422,23330,8357,韶兴村委,健身器材、篮球栏,12,套,陈村乡韶兴村
423,21774,10512,东关村委,新建办公楼,7,间,
424,21778,10512,东关村委,东关小学,7,间,
425,21817,10512,东关村委,电脑,10,台,
426,21816,10512,东关村委,远程教育设备,10,套,
427,21815,10512,东关村委,电视,10,台,
428,22307,10512,东关村委,沙发排椅,11,个,
429,22299,10512,东关村委,1.8米办公桌,11,张,
430,22297,10512,东关村委,1.6米办公桌,11,张,
431,22291,10512,东关村委,铁皮柜,11,个,
432,22309,10512,东关村委,茶机,11,个,
433,22285,10512,东关村委,办公桌子,11,张,
434,22320,10512,东关村委,1.2米会议桌,11,张,
435,22312,10512,东关村委,5米双层会议桌,11,张,
436,22317,10512,东关村委,椅子,11,把,
437,22311,10512,东关村委,弓形椅,11,个,
438,22287,10512,东关村委,凳子,11,个,
439,22295,10512,东关村委,木柜,11,个,
440,22303,10512,东关村委,1.2米办公桌,11,张,
441,22316,10512,东关村委,铁皮书柜,11,个,
442,21823,10512,东关村委,狮子、锣鼓、镲,18,套,
443,29062,10514,南村村委,喇叭、扩音机,1,套,南村村委
444,23336,10514,南村村委,学校房屋,8,间,南村村
445,23363,10514,南村村委,办公桌椅,11,套,南村村委
446,23367,10514,南村村委,办公沙发、老板桌、茶几,11,套,南村村委
447,23373,10514,南村村委,篮球、篮球蓝,12,套,南村村
448,23400,10514,南村村委,水井,13,处,南村村
449,23401,10514,南村村委,水塘,13,处,南村村
450,23416,10514,南村村委,农家书屋,14,处,南村村
451,23381,10514,南村村委,远程教育,17,个,南村村委
452,23418,10514,南村村委,一事一议项目（道路）,18,条,南村村
453,23411,10514,南村村委,村组道路,18,公里,南村村
454,23409,10514,南村村委,村组道路,18,条,南村村
455,24324,10543,仁村村委,村委房屋,7,间,仁村村
456,24331,10543,仁村村委,学校房屋,8,间,仁村村
457,24364,10543,仁村村委,文化大楼,9,栋,仁村村
458,24366,10543,仁村村委,办公家具,11,套,仁村村委
459,24365,10543,仁村村委,办公家具,11,套,仁村村委
460,28847,10543,仁村村委,桌、椅、沙发等,11,套,仁村村委
461,24339,10543,仁村村委,篮球蓝、篮球,12,套,仁村村 
462,24359,10543,仁村村委,文艺活动用品,12,套,仁村村委
463,24342,10543,仁村村委,乒乓球案,12,套,仁村村
464,24363,10543,仁村村委,抗旱电泵、柴油泵,13,套,仁村村委
465,28832,10543,仁村村委,水利设施,13,套,仁村村
466,28833,10543,仁村村委,远程教育设备,14,套,仁村村委
467,28846,10543,仁村村委,电脑,16,台,仁村村委
