"   ","ASSETID","SHOPID","ACCID","EQUIPMENTNO","ASSETSNAME","ASSETSTYPEID","CHANGETYPEID","UNITNAME","INITQTY","CURRQTY","PRICE","RAWVALUE","SPECS","ADDRESS","USESTATUS","CHARGEMAN","INDATE","OPID","OPDATE","INITFLAG","DEPID","MEMO","RENT_NUM","CHANGEAMOUNT","IMAGES","ASSETID","ASSETCODE","ASSETNAME","PARENTID","UNITNAME","ISUSED","MEMO","ISDETAIL"
"41","23962","8131","1","","办公桌","11","1","套","6.000000","6.000000","300.000000","1800.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","2012年三资清查入帐。","","1800","","11","010202","办公家具","3","套","T","办公家具",""
"42","23966","8131","1","","单人床","11","1","套","1.000000","1.000000","500.000000","500.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","2012年三资清查入帐。","","500","","11","010202","办公家具","3","套","T","办公家具",""
"43","23945","8131","1","","书柜","11","8","套","5.000000","5.000000","300.000000","1500.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","县教体局赠，2012年三资清查入帐。","","1500","","11","010202","办公家具","3","套","T","办公家具",""
"44","16210","8131","1","20110120004","戏楼","12","2","座","1.000000","6.000000","15000.000000","15000.000000","","村中间","1","村委","2009-12-20","191","2012-10-25","T","","1978年建成，主体6间、附属3间等，占地3亩。","0","15000","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"45","23971","8131","1","","乒乓球案","12","8","套","2.000000","2.000000","500.000000","1000.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","2010年县教体局赠，2012年三资清查入帐。","","1000","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"46","23969","8131","1","","电视机","12","1","套","1.000000","1.000000","500.000000","500.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","2012年三资清查入帐。","","500","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"47","23973","8131","1","","机井","13","1","套","1.000000","1.000000","500000.000000","500000.000000","","村东05公里处","1","","2012-10-19","191","2012-10-19","T","","县水利帮扶，包括井房等，2012年三资清查入帐。","","500000","","13","010302","农田水利设施","4","套","T","农田水利设施",""
"48","15729","8131","1","20110120007","戏鼓","16","1","个","3.000000","3.000000","400.000000","1200.000000","","村委　","1","村委","2009-12-20","191","2012-12-10","T","","96年购置，2012年三资清查入帐。","0","1200","","16","010501","一般设备","6","个","T","一般设备",""
"49","15732","8131","1","20110120008","戏锣","16","1","个","20.000000","20.000000","50.000000","1000.000000","","村委","1","村委","2009-12-20","191","2012-10-25","T","","2011年购置。","0","1000","","16","010501","一般设备","6","个","T","一般设备",""
"50","15237","8131","1","20110120010","广播机","16","1","台","1.000000","1.000000","500.000000","500.000000","","村委","1","村委","2009-12-20","191","2012-10-25","T","","","0","500","","16","010501","一般设备","6","个","T","一般设备",""
